Question,Country,Age,Frequency of Use,Tech Knowledge,Facebook Users and Non-users,Answer,Total
Would you consider paying for a version of Facebook that doesn’t make money off you by collecting and selling your data?,Australia,18-24 years old,Constant User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,"No, I wouldn’t pay anything",1
Would you consider paying for a version of Facebook that doesn’t make money off you by collecting and selling your data?,Australia,18-24 years old,Constant User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,"Yes, I’d pay more than $10 per month",1
Would you consider paying for a version of Facebook that doesn’t make money off you by collecting and selling your data?,Australia,18-24 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,"No, I wouldn’t pay anything",3
Would you consider paying for a version of Facebook that doesn’t make money off you by collecting and selling your data?,Australia,18-24 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Not sure,1
Would you consider paying for a version of Facebook that doesn’t make money off you by collecting and selling your data?,Australia,18-24 years old,Daily User,Average User:  I know enough to get by.,User,"No, I wouldn’t pay anything",1
Would you consider paying for a version of Facebook that doesn’t make money off you by collecting and selling your data?,Australia,18-24 years old,Daily User,Average User:  I know enough to get by.,User,Not sure,1
Would you consider paying for a version of Facebook that doesn’t make money off you by collecting and selling your data?,Australia,18-24 years old,Daily User,Average User:  I know enough to get by.,User,"Yes, I’d pay up to $10 per month",2
Would you consider paying for a version of Facebook that doesn’t make money off you by collecting and selling your data?,Australia,18-24 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,"No, I wouldn’t pay anything",8
Would you consider paying for a version of Facebook that doesn’t make money off you by collecting and selling your data?,Australia,18-24 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Not sure,2
Would you consider paying for a version of Facebook that doesn’t make money off you by collecting and selling your data?,Australia,18-24 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,"Yes, I’d pay up to $10 per month",1
Would you consider paying for a version of Facebook that doesn’t make money off you by collecting and selling your data?,Australia,18-24 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,"No, I wouldn’t pay anything",8
Would you consider paying for a version of Facebook that doesn’t make money off you by collecting and selling your data?,Australia,18-24 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Not sure,5
