Question,Country,Age,Frequency of Use,Tech Knowledge,Facebook Users and Non-users,Answer,Total
Who is most responsible for keeping your personal information safe online?,Australia,18-24 years old,Constant User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Companies,1
Who is most responsible for keeping your personal information safe online?,Australia,18-24 years old,Constant User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Government,1
Who is most responsible for keeping your personal information safe online?,Australia,18-24 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Government,3
Who is most responsible for keeping your personal information safe online?,Australia,18-24 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Me,1
Who is most responsible for keeping your personal information safe online?,Australia,18-24 years old,Daily User,Average User:  I know enough to get by.,User,Companies,2
Who is most responsible for keeping your personal information safe online?,Australia,18-24 years old,Daily User,Average User:  I know enough to get by.,User,I'm not sure,1
Who is most responsible for keeping your personal information safe online?,Australia,18-24 years old,Daily User,Average User:  I know enough to get by.,User,Me,1
Who is most responsible for keeping your personal information safe online?,Australia,18-24 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Companies,3
Who is most responsible for keeping your personal information safe online?,Australia,18-24 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Government,1
Who is most responsible for keeping your personal information safe online?,Australia,18-24 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Me,7
Who is most responsible for keeping your personal information safe online?,Australia,18-24 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Companies,2
Who is most responsible for keeping your personal information safe online?,Australia,18-24 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Government,1
Who is most responsible for keeping your personal information safe online?,Australia,18-24 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,I'm not sure,3
Who is most responsible for keeping your personal information safe online?,Australia,18-24 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Me,9
Who is most responsible for keeping your personal information safe online?,Australia,18-24 years old,Not on Facebook,Average User:  I know enough to get by.,Non-user,Me,2
Who is most responsible for keeping your personal information safe online?,Australia,18-24 years old,Not on Facebook,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",Non-user,Companies,1
